	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YHR073W	OSH3	7.33	7.89	26.6	7.49	9.84	10.58	8.49
YHR074W	QNS1	36.37	44.7	57.63	19.58	10.99	20.79	31.93
YHR075C	PPE1	12.34	15.66	40.62	6.1	10.16	6.79	7.62
YHR076W	PTC7	25.59	33.29	98.28	25.24	13.22	14.09	12.05
YHR077C	NMD2	10.43	8.96	35.58	14.63	6.06	6.02	9.76
YHR079C	IRE1	5.19	9.14	13.22	7.89	12.34	4.29	2.8
YHR081W	LRP1	9.79	9.58	32.5	12.83	13.25	18.7	9.17
YHR082C	KSP1	12.22	9.75	28.12	0.23	3.97	6.05	11.81
YHR083W	SAM35	32.86	39.96	120.31	17.15	20.93	30.28	35.7
YHR084W	STE12	9.56	11.35	21.14	1.71	3.92	7.36	3.78
YHR085W	IPI1	6.61	6.9	55.41	23.2	11.55	10.99	12.21
YHR086W	NAM8	9.25	9.61	25.07	6.42	7.17	12.3	8.56
YHR088W	RPF1	8.41	9.1	34.52	12.49	19.91	18.26	16.84
YHR089C	GAR1	20.87	17.29	61.01	29.24	15.26	18.31	24.05
YHR090C	YNG2	2.27	6.68	10.47	0.23	4.69	4.45	2.44
YHR091C	MSR1	5.16	8.44	26.08	1.35	3.38	4.21	4.09
YHR094C	HXT1	11.58	15.42	45.06	7.12	0.23	7.22	67.73
YHR098C	SFB3	17.85	18.62	39.13	15.37	11.46	9.77	14.58
YHR099W	TRA1	9.21	10.39	12.27	5.02	7.01	1.53	3.4
YHR100C	YHR100C	18.87	22.73	38.38	21.71	6.99	7.75	9
YHR101C	BIG1	20.68	23.14	81.82	30.3	13.24	9.58	15.54
YHR102W	KIC1	6.73	6.15	17.29	7.97	5.13	0.96	4.35
YHR103W	SBE22	11.95	12.78	23.04	10.84	8.3	6.39	7.78
YHR104W	GRE3	20.56	30.59	44.86	8.42	2.59	4.38	24.02
YHR106W	TRR2	9.88	10.91	48.85	15.08	6.35	4.96	9.28
YHR107C	CDC12	15.97	14.27	192.89	26.19	17.48	22.48	21.11
YHR108W	GGA2	26.84	24.51	77.67	23.4	13.18	10.08	20.25
YHR110W	ERP5	20.42	25.23	36.53	17.01	18.26	9.47	8.02
YHR111W	UBA4	6.05	14.19	24.15	8.64	18.62	18.15	8.58
YHR113W	YHR113W	37.22	36.01	153.24	26.69	21.5	22.34	40.29
YHR114W	BZZ1	13.57	12.71	193.7	26.74	13.97	18.58	30.71
YHR115C	DMA1	13.6	12.21	45.33	10.18	9.49	13.97	16.02
YHR116W	COX23	6.47	4.39	8.88	0.23	0.23	0.23	0.23
YHR117W	TOM71	25.22	29.63	38.8	16.33	13.6	12	19.28
YHR118C	ORC6	6.05	9.66	32.14	18	10.14	5.67	6.74
YHR119W	SET1	8.01	11.87	24.39	7.34	13.8	8.33	7.59
YHR120W	MSH1	7.63	9.36	21.49	9.73	2.82	0.23	0.23
YHR121W	LSM12	22.65	18.18	80.2	24.16	13.87	6.86	13.63
YHR122W	YHR122W	16.04	16.36	24.29	5.95	11.3	12.28	14.11
YHR123W	EPT1	15.98	16.85	77.77	12.58	6.44	7.36	13.38
YHR127W	YHR127W	7.07	7.81	36.8	12.01	4.95	4.94	9.36
YHR128W	FUR1	24.99	26.5	71.29	28.94	27.68	23.93	31.71
YHR129C	ARP1	8.9	11.66	47.64	13.72	6.92	8.89	9.79
YHR132C	ECM14	20.99	25.13	56.73	14.09	15.13	14.95	20.05
YHR133C	NSG1	47.78	37.3	441.69	25.26	12.67	24.51	29.69
YHR135C	YCK1	13.61	19.04	29.18	5.65	3.2	7.1	14.59
YHR137W	ARO9	22.41	28.67	142.55	16.61	2.92	9.12	44.48
