	Gene	wt	00-06	06-12	12-18	18-24	24-30	30-36
YER142C	MAG1	2.71	3.82	1.51	2.75	7.09	16.7	16.95
YER143W	DDI1	5.02	6.5	0.87	2.34	14.01	11.81	8.62
YER145C	FTR1	19.97	20.19	7.83	10.97	7.7	5.39	10.31
YER146W	LSM5	25.57	26.07	22.12	32.24	59.06	69.25	28.52
YER147C	SCC4	13.92	9.9	2.96	16.23	23.3	15.56	8.34
YER148W	SPT15	38.54	35.52	16.16	49.87	59.88	41.32	35.52
YER149C	PEA2	8.32	8.94	1.79	8.25	21.51	11.01	4.87
YER150W	SPI1	4.94	4.37	3.49	1491.72	7444.64	1202.98	180.79
YER151C	UBP3	22.6	25.19	8.31	10.36	16.33	25.73	21.67
YER152C	YER152C	15.9	14.85	10.61	12.64	17.86	16.67	11.28
YER154W	OXA1	18.29	21.38	4.72	8.2	4.34	6.5	11.25
YER155C	BEM2	24.41	24.41	14.66	28.51	20.52	21.93	20.21
YER157W	COG3	8.28	9.08	1.87	5.8	12.13	13.17	9.14
YER159C	BUR6	84.49	61.66	18.09	63.78	45.48	56.51	77.67
YER161C	SPT2	19.91	20.12	1.58	4.85	11.33	11.1	14.89
YER164W	CHD1	13.76	16.25	4.2	9.14	6.43	8.71	8.24
YER165W	PAB1	57.95	52.91	71.99	119.2	132.47	70.14	35.88
YER166W	DNF1	14.79	17.92	6.83	10.22	10.21	11.37	14.06
YER167W	BCK2	29.78	30.16	8.01	8.39	10.1	20.02	21.85
YER168C	CCA1	13.44	15.08	4.8	17.09	35.25	24.3	17.54
YER169W	RPH1	14.8	14.32	2.08	135.53	68.74	30.15	25.12
YER170W	ADK2	2.36	2.67	0.36	0.57	1.14	1.27	1.4
YER171W	RAD3	15.42	14.75	2.64	4.97	5.04	6.12	6.7
YER172C	BRR2	18.2	18.37	5.5	8.59	7.25	9.84	9.6
YER173W	RAD24	8.12	7.97	1.34	5.68	14.22	20.37	13.98
YER174C	GRX4	17.97	17.61	8.04	24.48	74.05	75.69	39.43
